"emp_no","dept_no","from_date","to_date"
471424,"d008","1999-06-15","9999-01-01"
498594,"d002","1994-11-30","9999-01-01"
472022,"d004","1985-10-25","9999-01-01"
15151,"d001","2000-06-02","9999-01-01"
79015,"d005","1997-08-29","9999-01-01"
460352,"d003","1990-03-28","9999-01-01"
499911,"d005","1988-08-26","1992-07-14"
70959,"d009","1989-11-08","9999-01-01"
295110,"d005","1992-02-13","9999-01-01"
499532,"d004","1992-12-13","9999-01-01"
491412,"d009","2001-09-18","9999-01-01"
263294,"d004","1998-06-16","9999-01-01"
24804,"d005","1995-06-30","9999-01-01"
57956,"d005","1995-04-30","2000-02-23"
61936,"d005","1998-02-18","9999-01-01"
453850,"d005","1999-05-13","9999-01-01"
72362,"d007","1998-08-20","9999-01-01"
437481,"d004","1990-07-12","2002-07-23"
243459,"d008","1993-08-31","1996-01-03"
274052,"d005","1988-04-22","9999-01-01"
90138,"d005","1995-04-18","9999-01-01"
56535,"d007","1998-11-28","9999-01-01"
436318,"d006","1987-09-11","9999-01-01"
266421,"d005","1989-04-20","9999-01-01"
64022,"d003","1994-08-17","2000-02-04"
471021,"d009","1993-04-09","9999-01-01"
21678,"d002","1988-08-04","9999-01-01"
437835,"d006","1998-06-02","9999-01-01"
42400,"d007","1993-01-15","9999-01-01"
213844,"d009","1989-06-14","1990-04-17"
486454,"d005","1993-10-24","9999-01-01"
273533,"d004","1989-11-26","1999-08-10"
275567,"d009","1986-10-10","9999-01-01"
79486,"d005","1995-01-21","9999-01-01"
217072,"d004","1998-11-04","9999-01-01"
58370,"d005","1989-06-19","1994-04-07"
62457,"d005","1991-06-13","9999-01-01"
246034,"d007","1990-12-07","9999-01-01"
284361,"d006","1998-06-16","9999-01-01"
209845,"d004","1987-09-26","9999-01-01"
250953,"d007","1998-12-06","2001-05-29"
259712,"d001","1993-09-16","1995-11-07"
483852,"d006","1995-12-03","1998-11-01"
298345,"d005","1987-06-29","9999-01-01"
77097,"d007","1991-05-11","9999-01-01"
256560,"d004","1997-01-28","9999-01-01"
62141,"d001","1986-09-18","9999-01-01"
463086,"d004","1985-02-08","9999-01-01"
103869,"d001","1988-05-13","9999-01-01"
98466,"d009","1991-04-21","9999-01-01"
48825,"d009","1988-05-19","1996-11-01"
210954,"d006","1985-09-21","9999-01-01"
27257,"d007","1988-04-03","1999-08-15"
225782,"d006","1996-05-04","9999-01-01"
93128,"d005","1991-05-18","9999-01-01"
445832,"d008","1996-05-29","9999-01-01"
481994,"d002","1993-06-10","9999-01-01"
81112,"d004","1994-10-14","9999-01-01"
276922,"d008","2001-10-31","2002-02-20"
454623,"d007","1998-02-01","2001-01-19"
267608,"d007","1990-11-11","1997-04-21"
483190,"d007","1999-07-09","9999-01-01"
267541,"d005","1996-09-23","9999-01-01"
92391,"d005","1999-08-10","9999-01-01"
22112,"d009","1991-06-15","9999-01-01"
418250,"d002","1985-03-12","9999-01-01"
225564,"d001","1987-04-27","9999-01-01"
433835,"d005","1988-03-19","1995-02-10"
401003,"d007","1998-03-29","1998-05-28"
68208,"d007","1993-06-15","9999-01-01"
247150,"d004","1997-10-30","1999-08-15"
63866,"d003","1989-02-17","9999-01-01"
443129,"d005","1990-09-20","9999-01-01"
20846,"d008","1986-01-26","9999-01-01"
467263,"d003","1990-10-04","1994-02-01"
290392,"d002","1995-02-23","9999-01-01"
487025,"d005","1987-06-27","9999-01-01"
297869,"d004","1989-09-03","9999-01-01"
264902,"d007","1998-08-09","1999-05-07"
409725,"d007","2001-09-27","9999-01-01"
488501,"d004","1991-11-19","9999-01-01"
268730,"d004","1986-07-07","9999-01-01"
24365,"d005","1989-01-13","9999-01-01"
452396,"d004","1993-10-09","9999-01-01"
444076,"d004","1989-06-26","9999-01-01"
273632,"d007","1995-09-22","2000-05-04"
106196,"d005","1987-10-26","1995-01-07"
86380,"d004","1996-04-14","1996-05-09"
