"emp_no","salary","from_date","to_date"
403354,79033,"1991-10-07","1992-10-06"
492430,50460,"1996-10-22","1997-10-22"
436377,48775,"1993-11-29","1994-11-29"
17081,54636,"1993-12-26","1994-12-26"
493336,101554,"2001-11-04","9999-01-01"
207648,80834,"2000-05-10","2001-05-10"
265791,94303,"1995-06-16","1996-06-15"
201710,71904,"1986-06-04","1987-06-04"
468240,62543,"1999-05-15","2000-05-14"
483601,40000,"1996-01-15","1997-01-14"
414097,44942,"1988-10-17","1989-10-17"
69204,56886,"2000-02-24","2001-02-23"
66560,44971,"1989-07-16","1990-07-16"
84944,46602,"1987-05-05","1988-05-04"
231955,71127,"2000-09-17","2001-09-17"
476571,49409,"1997-02-08","1998-02-08"
84098,90697,"1994-03-21","1995-03-21"
414030,116077,"2001-12-05","9999-01-01"
460638,40000,"1995-07-25","1996-07-24"
57568,49083,"1997-08-09","1998-08-09"
416018,62768,"1986-08-18","1987-08-18"
52703,70730,"1999-02-08","2000-02-08"
23996,46692,"1990-03-15","1991-03-15"
434378,43810,"1997-09-27","1998-09-27"
22834,59123,"1991-02-19","1992-02-19"
401588,58250,"1991-12-13","1992-12-12"
88237,52887,"2001-09-23","9999-01-01"
64038,59014,"1988-11-01","1989-11-01"
430356,129457,"2002-05-12","9999-01-01"
442295,42881,"1997-12-30","1998-12-30"
238259,71099,"2002-02-17","9999-01-01"
17457,81543,"2000-01-01","2000-12-31"
416890,68829,"1998-04-26","1999-04-26"
489336,82998,"1996-09-29","1997-09-29"
224621,57807,"2000-04-12","2001-04-12"
462608,76286,"2002-05-22","9999-01-01"
65025,81624,"2001-11-21","9999-01-01"
89881,61058,"2000-11-25","2001-11-25"
425216,40559,"1988-10-25","1989-10-25"
279312,78006,"1996-03-01","1997-03-01"
37357,47740,"1994-11-19","1995-11-19"
460603,49220,"2000-03-09","2001-03-09"
250430,43975,"1992-08-07","1993-08-07"
497970,61393,"1998-06-03","1999-06-03"
76026,50999,"1998-04-05","1999-04-05"
205422,42562,"2001-11-20","9999-01-01"
286305,81594,"2001-08-03","9999-01-01"
44567,78621,"1998-09-03","1999-09-03"
208237,40000,"1994-05-18","1995-05-18"
75530,84096,"2000-08-27","2001-08-27"
284685,45174,"1988-06-22","1989-06-22"
434426,76594,"2002-04-04","9999-01-01"
201961,102479,"2001-06-05","2002-06-05"
479755,54925,"2000-10-03","2001-10-03"
215270,112078,"1998-10-03","1999-10-03"
262981,40000,"1990-06-17","1991-06-17"
51711,50439,"1989-08-25","1990-08-25"
431060,76477,"1991-10-10","1992-10-09"
240641,45681,"1991-08-28","1992-08-27"
52738,40000,"1990-01-18","1991-01-18"
214779,53388,"1989-09-21","1990-09-21"
475488,70705,"1999-09-22","2000-09-21"
24732,48473,"1998-09-05","1999-09-05"
229696,48796,"1989-04-15","1990-04-15"
266128,93805,"1991-10-30","1992-10-29"
464489,68569,"2002-06-14","9999-01-01"
287272,73434,"1991-05-18","1992-05-17"
51285,49553,"1991-03-09","1992-03-08"
86309,40000,"1992-11-03","1993-11-03"
43383,47248,"2000-08-07","2001-08-07"
292705,62963,"1993-04-24","1994-04-24"
481344,69708,"1996-07-17","1997-07-17"
433913,52330,"1998-02-25","1999-02-25"
403701,63873,"1998-05-10","1999-05-10"
405793,56647,"1994-04-15","1995-04-15"
81299,62165,"1993-05-30","1994-05-30"
421171,102176,"1999-09-22","2000-09-21"
401657,74044,"1997-03-17","1998-03-17"
12340,44077,"1991-08-07","1992-08-06"
284995,52007,"1996-08-20","1997-08-20"
56976,52393,"1994-10-05","1995-10-05"
77975,73007,"1994-10-17","1995-10-17"
29253,56183,"2002-04-29","9999-01-01"
266252,72540,"2002-05-12","9999-01-01"
229687,80136,"1995-11-23","1996-11-22"
29704,44390,"1990-08-23","1991-08-23"
427192,120368,"1993-07-29","1994-07-27"
292470,72102,"2001-09-19","9999-01-01"
204751,43652,"1990-01-18","1991-01-18"
71522,58707,"2000-07-24","2001-07-24"
439942,53439,"1999-12-16","2000-12-15"
224631,62964,"2000-04-11","2001-04-11"
38724,55734,"1998-05-09","1999-05-09"
405670,103288,"2000-02-24","2001-02-23"
259516,95532,"1999-06-06","2000-06-05"
74632,56669,"1993-06-08","1994-06-08"
465791,54186,"1996-01-29","1997-01-28"
495887,53317,"1997-07-03","1998-07-03"
407689,55114,"1987-05-20","1988-05-19"
104340,99361,"1999-03-24","2000-03-23"
415433,45142,"1998-02-25","1999-02-25"
207706,40000,"1996-07-10","1997-07-10"
483284,56325,"1999-01-22","2000-01-22"
465488,93640,"2000-03-24","2001-03-24"
107362,73506,"1998-04-27","1999-04-27"
251333,54240,"2002-02-23","9999-01-01"
450993,66314,"2000-05-27","2001-05-27"
268839,58182,"1993-06-26","1994-06-26"
91980,71534,"1991-02-07","1992-02-07"
478463,46817,"1992-12-27","1993-12-27"
476915,53622,"1990-04-11","1991-04-11"
68263,67073,"1992-12-18","1993-07-11"
421893,92330,"2000-11-14","2001-11-14"
463721,63475,"1993-08-29","1994-08-29"
202786,57241,"1996-08-29","1997-08-29"
436363,41868,"1997-08-27","1998-08-27"
281842,56509,"2002-06-29","9999-01-01"
210484,42556,"1988-12-05","1989-12-05"
28033,44091,"1999-11-06","2000-11-05"
60590,65837,"1999-10-16","2000-10-15"
211235,53161,"1990-02-15","1991-02-15"
466161,95576,"1995-12-06","1996-12-05"
58582,53869,"1995-02-13","1996-02-13"
78855,53015,"2002-05-01","9999-01-01"
481794,71056,"2001-08-13","9999-01-01"
412872,64582,"1998-04-13","1999-04-13"
270497,45602,"2000-09-11","2001-09-11"
14241,71227,"1997-11-26","1998-11-26"
474592,85371,"1995-07-05","1996-07-04"
99939,87062,"1997-10-20","1998-10-20"
290855,77394,"1998-03-15","1999-03-15"
267698,50789,"1994-03-18","1995-03-18"
449827,55640,"1999-02-10","2000-02-10"
